"PRINCIPAL PARTS","GLOSS","CHAPTER"
"vertō vertere vertī versus","to turn","19"
"aperiō aperīre aperuī apertus","to open","20"
"apertus –a –um","uncovered, open, public","20"
"arx arcis f.","summit, citadel","20"
"auctōritās auctōritātis f.","authority","20"
"autem","however; moreover","20"
"caedēs caedis f.","killing","20"
"caedō caedere cecīdī caesus","to kill, strike, cut","20"
"canō canere cecinī cantus","to sing","20"
"condō condere condidī conditus","to build, store up, place","20"
"cōnservō cōnservāre cōnservāvī cōnservātus","to keep, preserve","20"
"cupiō cupere cupiī/cupīvī cupītus","to desire","20"
"fātum –ī n. or fātus –ī m.","destiny, fate","20"
"intereā","meanwhile","20"
"ob","on account of","20"
"ōra –ae f.","shore, coast","20"
"procul","at a distance","20"
"saevus –a –um","savage","20"
"signum signī n.","mark, impression, sign","20"
"somnus somnī m.","sleep","20"
"vīs vis f.","force","20"
"vītō vītāre vītāvī vītātus","to avoid, shun","20"
"celeriter celerius celerrime","swiftly","21"
"cēterus –a –um; often pl. cēterī –ae –a","the other; the rest","21"
"cōgō cogere coēgī coāctus","to drive together; compel","21"
"dolus dolī m.","artifice, device, trick","21"
"fortiter fortius fortissime","bravely more bravely most bravely","21"
"iubeō iubēre iussī iussus","to order","21"
"mālō mālle māluī","to prefer","21"
"moenia moenium n. pl.","walls","21"
"mōs mōris m.","custom","21"
"necesse est","it is necessary","21"
"nōlō nōlle nōluī","to be unwilling (+ inf.)","21"
"nūntius nūnti(ī) m.","messenger; news","21"
"postulō postulāre postulāvī postulātus","to demand","21"
"prīnceps prīncipis m.","chief","21"
"quam","than; as, how","21"
"servus servī m.","enslaved person","21"
"sinō sinere sīvī situs","to allow","21"
"vetō (votō) vetāre vetuī vetitus","to forbid","21"
"vīvō vīvere vīxī vīctus","to live","21"
"volō velle voluī","to wish","21"
"āiō","to say, affirm, say yes","22"
"artus artūs m.","limb, leg","22"
"bene; melius (comp.); optimē (superl.)","well","22"
"cōgitō cōgitāre cōgitāvī cōgitātus","to think","22"
"gaudeō gaudēre gāvīsus sum","to be glad","22"
"hodiē","today","22"
"ibī","there; then","22"
"imprūdēns –entis","not seeing or knowing beforehand","22"
"inquam inquis inquit inquiunt","to say","22"
"līberī līberōrum m. pl.","children","22"
"modus modī m.","measure; manner","22"
"negō negāre negāvī negātus","to deny, refuse","22"
"nesciō nescīre nescīvī/nesciī nescītus","to not know","22"
"orbis orbis m.","circle, orb","22"
"orbis terrārum","world","22"
"ostendō ostendere ostendī","to show","22"
"prūdēns –entis","aware, acting deliberately; prudent","22"
"putō putāre putāvī putātus","to think","22"
"respondeō respondēre respondī respōnsus","to answer","22"
"spērō spērāre spērāvī spērātus","to hope","22"
"trādō trādere trādidī trāditus","to hand over; report","22"
"arbitror arbitrārī arbitrātus sum","to judge, consider, think","23"
"cibus cibī m.","food","23"
"cōnor cōnārī cōnātus sum","to try, attempt","23"
"crīmen crīminis n.","verdict, accusation","23"
"cūnctus –a –um","all","23"
"fīdō fīdere fīsus sum","to trust, believe","23"
"fruor fruī frūctus sum","to enjoy","23"
"fungor fungī fūnctus sum","to perform (+ acc. or abl.) ","23"
"īdem eadem idem","same","23"
"ingredior ingredī ingressus sum","to step in, enter","23"
"ipse ipsa ipsum","himself, herself, itself (intensive)","23"
"loquor loquī locūtus sum","to speak","23"
"moror morārī morātus sum","to delay","23"
"patior patī passus sum","to permit, endure","23"
"potior potirī potitus sum","to obtain","23"
"pōtus pōtūs m.","a drinking, a drink","23"
"proficīscor proficīscī profectus sum","to set forth","23"
"quīdam quaedam quiddam","a certain person/thing","23"
"sequor sequī secūtus sum","to follow, come next","23"
"vēscor vēscī","to eat, feed on","23"
"ūtor ūtī ūsus sum","to use","23"
"exitium existi(ī) n.","destruction, ruin","24"
"imperō imperāre imperāvī imperātus","to command, control","24"
"incolō incolere incoluī","to inhabit, dwell","24"
"ingenium –(i)ī n.","disposition, ability","24"
"interficiō interficere interfēcī interfectus","to kill","24"
"māximus –a –um","greatest; maxime: most, especially, very much","24"
"morior morī mortuus sum","to die","24"
"occīdō occīdere occīdī occīsum","to knock down, kill","24"
"ōs ōris n.","mouth, face","24"
"pateō patēre patuī","to be open","24"
"proximus –a –um","nearest","24"
"rogō rogāre rogāvī rogātus","to ask","24"
"socius –iī m.","ally, comrade","24"
"vulnerō vulnerāre vulnerāvī vulnerātus","to wound","24"
"abeō abīre abiī abitum","to go away","25"
"adeō adīre adīvī/adiī aditus","to go to","25"
"aequus –a –um","equal","25"
"afferō afferre attulī allātus","to bring to","25"
"auferō auferre abstulī ablātus","to take away; make cuts","25"
"commūnis commūnis commūne","common, general","25"
"cōnferō cōnferre cōntulī cōllātus","to collect, transfer, move","25"
"eō","there, in that place; for that reason","25"
"exeō exīre exīvī/exiī exitus","to go forth","25"
"ferō ferre tulī lātus","to bear, carry, report","25"
"ineō inīre iniī/inīvī initus","to enter","25"
"īnfēlīx īnfēlīcis","unfortunate, unhappy","25"
"īnferō īnferre intulī inlātus","to bring upon/against","25"
"offerō offerre obtulī oblātus","to offer, present","25"
"pereō perīre periī peritūs","to perish","25"
"redeō redīre rediī reditum","to go back","25"
"referō referre rettulī relātus","to bring back","25"
"sē cōnferre","proceed, go","25"
"subeō subīre subīvī/subiī subitus","to go under","25"
"tollō tollere sustulī sublātus","to raise; destroy","25"
"trānseō trānsīre trānsīvī/trānsiī trānsitus","to go across","25"
"quam","than; as, how","26"
"amor amōris m.","love","26"
"canis canis m. or f.","dog","26"
"culpa culpae f.","fault, blame","26"
"dēleō dēlēre dēlēvī dēlētus","to destroy","26"
"facile","easily","26"
"gravis grave","heavy","26"
"iūstus –a –um","just, fair","26"
"longē","far","26"
"modo","only, just now","26"
"numquam","never","26"
"prīmō (prīmīs)","at first","26"
"prīmum","first","26"
"resistō resistere restitī","to stand still, oppose","26"
"sanctus –a –um","consecrated","26"
"turpis turpe","ugly","26"
"uterque utraque utrumque","each of two","26"
"ūtilis ūtilis ūtile","useful","26"
"accidō accidere accidī –––","to fall; happen","27"
"an","or, whether, if","27"
"adsum adesse adfuī adfutūrus","to be present","27"
"at or ast","but","27"
"aura aurae f.","breeze","27"
"beātus –a –um","happy, blessed","27"
"dēnique","finally","27"
"dēspērō dēspērāre dēspērāvī dēspērātus","to despair","27"
"flōreō flōrēre flōruī","to bloom","27"
"frūctus fructūs m.","fruit, crops","27"
"glōria glōriae f.","renown, glory","27"
"hortor hortārī hortātus sum","to urge","27"
"mōtus mōtūs m.","motion, movement","27"
"nē","not; in order that…not; that…not; that","27"
"neglegō neglegere neglēxī neglēctus","to disregard, neglect","27"
"nē…quidem","not even","27"
"quidem","moreover","27"
"rēctus –a –um","straight, direct","27"
"tellūs tellūris f.","earth","27"
"temperō temperāre temperāvī temperātus","to moderate","27"
"vērō","certainly","27"
"utinam","introduces an Optative subjunctive","27"
"appropinquō appropinquāre appropinquavī","to approach, draw near","28"
"bibō bibere bibī","to drink","28"
"cīvīlis cīvīle","of a citizen","28"
"deinde or dein","then, next","28"
"dīrus –a –um","awful, ill-omened","28"
"gladius gladiī m. or gladium –iī n.","sword","28"
"iūdex iūdicis m.","judge; juror","28"
"iūdicium iūdici(ī) n.","decision; trial","28"
"lībere līberius līberrime","freely more freely most freely","28"
"nefās n.","divinely forbidden (indeclinable)","28"
"oppidum oppidī n.","town","28"
"poena poenae f.","punishment","28"
"poenās dare","to pay the penalty","28"
"sōl sōlis m.","sun","28"
"tālis tāle","such","28"
"tēlum tēlī n.","spear; missile weapon","28"
"tot","so many","28"
"totiēns","so often","28"
"tremō tremere tremuī","to tremble","28"
"vīnum vīnī n. or vīnus vīnī m.","wine","28"
"ut or utī","so that; as, when; that; how? In what manner?","28"
"appellō appellāre appellāvī appellātus","to call","29"
"apud","near, in the presence of","29"
"colō colere coluī cultus","to inhabit, cultivate","29"
"cūr","why","29"
"ēripiō ēripere ēripuī ēreptus","to tear away, snatch away","29"
"fiō fierī factus sum","to become","29"
"habitō habitāre habitāvī habitātus","to inhabit","29"
"iungō iungere iūnxī iūnctus","to join","29"
"lātus –a –um","broad, wide","29"
"līberō līberāre līberāvī līberātus","to free","29"
"mīror mīrārī mīrātus sum","to wonder, be astonished","29"
"num","whether","29"
"precor precārī precātus sum","to beg, pray","29"
"quaerō quaerere quaesiī/quaesīvī quaesītus","to seek","29"
"quis quid","who, what","29"
"quōmodō or separately quō modō","how","29"
"quot","how many , as many as (indeclinable)","29"
"quotiēns or quotiēs","how many times; whenever","29"
"requīrō requīrere requīsīvī requīsītus","to seek","29"
"statim","immediately","29"
"undique","from all sides","29"
"aliquis aliquid and aliquī aliqua aliquod","someone, something; some, any","30"
"amīcitia amīcitiae f.","friendship","30"
"certō or certē (certius)","without doubt, certainly","30"
"cōnspiciō cōnspicere cōnspexī cōnspectus","to catch sight of, behold","30"
"imperātor imperātōris m.","commander","30"
"metuō metuere metuī","to fear, dread","30"
"mox","soon; then","30"
"nisi or nī","if...not; unless","30"
"ops opis f.","resources","30"
"philosophia philosophiae f.","philosophy","30"
"quoque","also","30"
"simul","at the same time","30"
"sīn","but if","30"
"suscipiō suscipere suscēpī susceptus","to take up","30"
"vereor verērī veritus sum","to fear","30"
"victōria victōriae f.","victory","30"
"committō committere commīsī commīssus","to join, entrust","31"
"conveniō convenīre convēnī conventus","to assemble; agree","31"
"male","badly","31"
"pōns pontis m.","bridge","31"
"probō probāre probāvī probātus","to approve","31"
"tamquam","just as","31"
"voluptās voluptātis f.","pleasure","31"
"ante","before, in front of (adv. and prep. +acc.)","32"
"fās n.","right (indeclinable)","32"
"forsan or forsitan","perhaps","32"
"liceō licēre licuī","to be for sale","32"
"mīrābilis –e","wonderful, extraordinary","32"
"nefās n.","divinely forbidden (indeclinable)","32"
"oportet oportēre oportuit","it is proper/right","32"
